title,label
"Jenis dan Tarif atas Jenis Penerimaan Negara Bukan Pajak yang Berlaku pada Direktorat Jenderal Administrasi Hukum Umum, Kementerian Hukum dan Hak Asasi Manusia","Jenis Dan Tarif, Penerimaan Negara Bukan Pajak, Kementerian Hukum Dan Ham"
"Tata Cara Pendaftaran, Pelaporan, dan Pendataan Objek Pajak Pajak Bumi dan Bangunan","Pajak Bumi Dan Bangunan, Pendaftaran Dan Pelaporan, Objek Pajak Bumi"
Pedoman Standar Pelayanan di Lingkungan Kementerian Keuangan,"Pedoman, Standar Pelayanan, Kementerian Keuangan"
Account Representative pada Kantor Pelayanan Pajak,"Account Representative, Kantor Pelayanan Pajak"
Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 105/PMK.07/2020  tentang Pengelolaan Pinjaman Pemulihan Ekonomi Nasional untuk Pemerintah Daerah,"Perubahan Kedua, Program Pen, Pemerintah Daerah"
"Pemberian Tunjangan Hari Raya dan Gaji Ketiga Belas kepada Aparatur Negara, Pensiunan, Penerima Pensiun, dan Penerima Tunjangan Tahun 2021","Tunjangan Hari Raya, Gaji Ketiga Belas, Tahun Anggaran 2021"
"Petunjuk Teknis Pelaksanaan Pemberian Tunjangan Hari Raya dan Gaji Ketiga Belas kepada Aparatur Negara, Pensiunan, Penerima Pensiun, dan Penerima
Tunjangan Tahun 2021 yang Bersumber dari Anggaran Pendapatan dan Belanja Negara","Petunjuk Teknis, Tunjangan Hari Raya, Gaji Ketiga Belas"
Tata Cara Penundaan dan/ atau Pemotongan Dana Perimbangan terhadap Daerah yang Tidak Memenuhi Alokasi Dana Desa,"Dana Desa, Dana Perimbangan, Pemotongan"
"Perubahan atas Peraturan Menteri Keuangan Nomor 136/PMK.02/2020 tentang Tata Cara Penyediaan, Pembayaran, dan Pertanggungjawaban Bantuan Pembayaran Tagihan Listrik Perusahaan Perseroan (Persero) PT Perusahaan Listrik Negara bagi Pelanggan Golongan Industri, Bisnis, dan Sosial dalam rangka Pelaksanaan Program Pemulihan Ekonomi Nasional","Perubahan, Program Pen, Tagihan Listrik"
Biaya Operasional Penyelenggaraan Pembayaran Manfaat Pensiun yang Dilaksanakan oleh PT Taspen (Persero) dan PT Asabri (Persero),"Biaya Operasional, Pembayaran Manfaat Pensiun, Pt Taspen"
Perubahan atas Peraturan Pemerintah Nomor 40 Tahun 2015 tentang Penyerahan Air Bersih yang Dibebaskan dari Pengenaan Pajak Pertambahan Nilai,"Perubahan, Pajak Pertambahan Nilai, Air Bersih"
Pemasukan Dan Pengeluaran Barang Ke Dan Dari Kawasan Yang Telah Ditetapkan Sebagai Kawasan Perdagangan Bebas Dan Pelabuhan Bebas,"Pelabuhan Bebas, Kawasan Perdagangan Bebas, Pemasukan/Pengeluaran Barang"
"Perubahan atas Peraturan Menteri Keuangan Nomor 237 /PMK.010/2020 tentang Perlakuan Perpajakan, Kepabeanan, dan Cukai pada Kawasan Ekonomi Khusus","Perubahan, Kawasan Ekonomi, Khusus"
Tata Cara Penjaminan Pemerintah untuk Pelaku Usaha Korporasi melalui Badan Usaha Penjaminan yang Ditunjuk dalam Rangka Pelaksanaan Program Pemulihan Ekonomi Nasional,"Perubahan, Program Pen, Badan Usaha Penjaminan"
Pajak Penjualan Atas Barang Mewah Atas Penyerahan Barang Kena Pajak Yang Tergolong Mewah Berupa Kendaraan Bermotor Tertentu Yang Ditanggung Pemerintah Tahun Anggaran 2021,"Pajak Penjualan Atas Barang Mewah, Kendaraan Bermotor, Ditanggung Pemerintah"
Tata Cara Pemberian Jaminan Pemerintah Pusat untuk Percepatan Pelaksanaan Proyek Strategis Nasional,"Pemberian Jaminan Pemerintah, Proyek Strategis Nasional, Percepatan"
Tarif Layanan Badan Layanan Umum Rumah Sakit Umum Pusat Dr. Tadjuddin Chalid Makassar Pada Kementerian Kesehatan,"Tarif Layanan Blu, Kementerian Kesehatan, Rumah Sakit Umum Pusat"
Tarif Layanan Badan Layanan Umum Universitas Pembangunan Nasional Veteran Jawa Timur pada Kementerian Pendidikan dan Kebudayaan,"Tarif Layanan Blu, Kementerian Pendidikan Dan Kebudayaan, Universitas Pembangunan Nasional Veteran"
Tarif Layanan Badan Layanan Umum Politeknik Keuangan Negara STAN pada Kementerian Keuangan,"Tarif Layanan Blu, Politeknik Keuangan Negara, Stan"
Dukungan Pendanaan Anggaran Pendapatan dan Belanja Negara bagi Pengelolaan Sampah di Daerah,"Pengelolaan Sampah, Anggaran Pendapatan Dan Belanja Negara, Pendanaan"
"Penetapan Kurang Bayar, Lebih Bayar, dan Alokasi Sementara Kurang Bayar Dana Bagi Hasil pada Tahun 2021","Dana Bagi Hasil, Alokasi Sementara, Kurang Bayar"
